year,geo_name,geo,child_mortality
2015,"Portsmouth city","05000US51740",102.0
2016,"Walsh County","05000US38099",102.0
2015,"Muscogee County, GA","05000US13215",101.8
2016,"Randolph County","05000US54083",101.7
2016,"Pickens County","05000US01107",101.7
2016,"Sabine Parish","05000US22085",101.7
2017,"Walsh County","05000US38099",101.6
2015,"Roanoke city, VA","05000US51770",101.5
2016,"Grant County","05000US54023",101.5
2016,"Washington County","05000US01129",101.5
2017,"Nowata County","05000US40105",101.5
2015,"Lawrence County","05000US28077",101.5
2015,"Tunica County","05000US28143",101.4
2016,"Pemiscot County","05000US29155",101.3
2015,"Prentiss County","05000US28117",101.3
2017,"Caddo Parish, LA","05000US22017",101.3
2017,"Labette County","05000US20099",101.2
2015,"McCurtain County","05000US40089",101.2
2015,"Marlboro County","05000US45069",101.2
2017,"Madison County","05000US05087",101.1
2017,"Gila County","05000US04007",100.9
2015,"Gila County","05000US04007",100.9
2017,"Concordia Parish","05000US22029",100.9
2015,"District of Columbia, DC","05000US11001",100.8
2017,"Pointe Coupee Parish","05000US22077",100.8
2017,"Emanuel County","05000US13107",100.8
2017,"Adair County","05000US40001",100.7
2015,"Pointe Coupee Parish","05000US22077",100.6
2016,"St. James Parish","05000US22093",100.6
2016,"Gila County","05000US04007",100.5
2015,"Dougherty County","05000US13095",100.5
2016,"Choctaw County","05000US01023",100.5
2015,"Sumter County","05000US01119",100.4
2017,"Butler County","05000US01013",100.3
2017,"Charles Mix County","05000US46023",100.3
2017,"Dimmit County","05000US48127",100.2
2015,"Lowndes County, GA","05000US13185",100.2
2015,"Texas County","05000US40139",100.1
2015,"Caddo County","05000US40015",100.0
2016,"Greenlee County","05000US04011",99.8
2016,"Accomack County","05000US51001",99.8
2016,"Covington County","05000US28031",99.7
2017,"Hamilton County","05000US12047",99.6
2017,"Panola County","05000US48365",99.5
2017,"St. Louis city, MO","05000US29510",99.5
2017,"Natchitoches Parish","05000US22069",99.5
2015,"Frio County","05000US48163",99.5
2016,"Nowata County","05000US40105",99.3
2016,"Cherokee County","05000US19035",99.3
2016,"Carroll County","05000US21041",99.2
2015,"Colfax County","05000US35007",99.2
2015,"Terry County","05000US48445",99.2
2015,"Crittenden County","05000US05035",99.2
2017,"Caroline County","05000US24011",99.1
2016,"Jackson County","05000US40065",99.1
2016,"Breckinridge County","05000US21027",99.0
2016,"Red Willow County","05000US31145",98.9
2016,"Haywood County","05000US47075",98.9
2016,"Baltimore city, MD","05000US24510",98.8
2016,"Gadsden County","05000US12039",98.8
2017,"Pike County","05000US28113",98.7
2015,"Mississippi County","05000US05093",98.6
2015,"Cibola County","05000US35006",98.6
2015,"Lincoln County","05000US21137",98.6
2017,"Knott County","05000US21119",98.5
2017,"Conecuh County","05000US01035",98.4
2017,"Clarke County","05000US28023",98.4
2016,"Richmond County, GA","05000US13245",98.3
2017,"Harrison County","05000US21097",98.3
2015,"Starke County","05000US18149",98.3
2016,"Bolivar County","05000US28011",98.2
2016,"Natchitoches Parish","05000US22069",98.2
2015,"Breckinridge County","05000US21027",98.2
2015,"Jackson County","05000US40065",98.2
2016,"Abbeville County","05000US45001",98.1
2015,"Marquette County","05000US55077",98.0
2017,"Choctaw County","05000US01023",98.0
2015,"Drew County","05000US05043",97.9
2015,"Perry County","05000US28111",97.9
2015,"Newport News city, VA","05000US51700",97.8
2015,"Mifflin County","05000US42087",97.7
2017,"Prentiss County","05000US28117",97.7
2017,"Tattnall County","05000US13267",97.6
2015,"Caroline County","05000US24011",97.6
2017,"Chickasaw County","05000US28017",97.6
2016,"Union Parish","05000US22111",97.5
2015,"Leflore County","05000US28083",97.5
2015,"Pottawatomie County","05000US40125",97.5
2016,"Humboldt County","05000US32013",97.5
2017,"Marion County","05000US01093",97.4
2015,"Sampson County","05000US37163",97.3
2016,"Prentiss County","05000US28117",97.3
2017,"Gunnison County","05000US08051",97.3
2015,"Stone County","05000US05137",97.2
2016,"Howard County","05000US05061",97.1
2015,"Lauderdale County","05000US47097",97.0
2015,"Madison County","05000US12079",96.9
2015,"Anderson County","05000US21005",96.8
2015,"Potter County, TX","05000US48375",96.8
2016,"Pike County","05000US39131",96.7
2015,"Colleton County","05000US45029",96.6
2015,"Burke County","05000US13033",96.5
2015,"Tangipahoa Parish, LA","05000US22105",96.5
2015,"West Carroll Parish","05000US22123",96.4
2015,"Adams County","05000US18001",96.4
2017,"Crawford County","05000US17033",96.3
2016,"Adams County","05000US18001",96.3
2015,"Pushmataha County","05000US40127",96.3
2015,"Appling County","05000US13001",96.3
2017,"Big Horn County","05000US30003",96.3
2017,"Warren County","05000US37185",96.2
2016,"Sampson County","05000US37163",96.2
2016,"Moniteau County","05000US29135",96.2
2015,"Haywood County","05000US47075",96.1
2016,"McCurtain County","05000US40089",96.1
2015,"Labette County","05000US20099",96.1
2016,"Clay County","05000US17025",96.0
2015,"Taylor County","05000US12123",96.0
2016,"Danville city","05000US51590",96.0
2016,"Nicholas County","05000US54067",95.9
2015,"Charlottesville city","05000US51540",95.7
2016,"Marlboro County","05000US45069",95.6
2016,"Holmes County","05000US12059",95.6
2017,"Jackson County","05000US01071",95.6
2017,"Mississippi County","05000US05093",95.6
2017,"Muscogee County, GA","05000US13215",95.6
2017,"Bamberg County","05000US45009",95.6
2016,"Bamberg County","05000US45009",95.6
2016,"Jackson County","05000US01071",95.5
2015,"Nelson County","05000US51125",95.4
2015,"Cross County","05000US05037",95.4
2015,"Smith County","05000US28129",95.4
2016,"Robeson County, NC","05000US37155",95.4
2015,"Tallapoosa County","05000US01123",95.3
2015,"Nicholas County","05000US54067",95.3
2016,"Panola County","05000US28107",95.1
2015,"Prowers County","05000US08099",95.1
2017,"Morehouse Parish","05000US22067",95.1
2015,"Beltrami County","05000US27007",95.1
2017,"Franklin Parish","05000US22041",95.1
2016,"Muscogee County, GA","05000US13215",95.0
2015,"Jefferson County","05000US13163",95.0
2016,"Jefferson County","05000US12065",95.0
2015,"Florence County, SC","05000US45041",95.0
2015,"Livingston County","05000US17105",94.8
2017,"Logan County","05000US05083",94.8
2016,"Lowndes County","05000US01085",94.8
2015,"Chesterfield County","05000US45025",94.8
2015,"Hutchinson County","05000US48233",94.7
2017,"Perry County","05000US28111",94.7
2015,"Mecklenburg County","05000US51117",94.7
2017,"Craighead County, AR","05000US05031",94.7
2015,"Scotland County","05000US37165",94.6
2016,"Texas County","05000US40139",94.5
2016,"Rusk County","05000US55107",94.5
2015,"Scott County","05000US28123",94.5
2016,"Geary County","05000US20061",94.5
2016,"De Soto Parish","05000US22031",94.4
2016,"Beltrami County","05000US27007",94.3
2016,"Sunflower County","05000US28133",94.3
2017,"Colorado County","05000US48089",94.3
2016,"Bath County","05000US21011",94.3
2016,"Tangipahoa Parish, LA","05000US22105",94.3
2015,"Calhoun County","05000US28013",94.2
2016,"Newton County","05000US28101",94.2
2017,"Henry County","05000US01067",94.2
2015,"Fairfield County","05000US45039",94.2
