year,geo_name,geo,median_property_value,median_property_value_moe
2015,"Somerset County, NJ","05000US34035",399000.0,4216.0
2013,"Somerset County, NJ","05000US34035",398800.0,4368.0
2013,"Middlesex County, MA","05000US25017",398200.0,1597.0
2014,"Somerset County, NJ","05000US34035",396500.0,4009.0
2013,"Rappahannock County","05000US51157",394800.0,41313.0
2015,"Routt County","05000US08107",394600.0,23739.0
2014,"Hunterdon County, NJ","05000US34019",393500.0,4664.0
2014,"Norfolk County, MA","05000US25021",393500.0,2533.0
2013,"Norfolk County, MA","05000US25021",391100.0,2506.0
2015,"Hunterdon County, NJ","05000US34019",390900.0,5537.0
2013,"Routt County","05000US08107",390100.0,21626.0
2013,"Monmouth County, NJ","05000US34025",389900.0,2555.0
2014,"Ouray County","05000US08091",389600.0,28722.0
2015,"Ouray County","05000US08091",388600.0,24074.0
2014,"Monmouth County, NJ","05000US34025",386900.0,2155.0
2015,"Monroe County","05000US12087",386400.0,11264.0
2015,"Monmouth County, NJ","05000US34025",385100.0,2719.0
2015,"King County, WA","05000US53033",384300.0,1567.0
2013,"Ouray County","05000US08091",383900.0,30578.0
2014,"Rappahannock County","05000US51157",383700.0,30526.0
2013,"Suffolk County, NY","05000US36103",383400.0,1334.0
2013,"Monroe County","05000US12087",381200.0,10615.0
2015,"San Benito County","05000US06069",380200.0,11861.0
2014,"Monroe County","05000US12087",379700.0,12783.0
2014,"Routt County","05000US08107",378100.0,16261.0
2013,"King County, WA","05000US53033",377300.0,1662.0
2015,"Suffolk County, MA","05000US25025",377100.0,3669.0
2014,"Suffolk County, NY","05000US36103",376800.0,1232.0
2014,"King County, WA","05000US53033",376200.0,1845.0
2015,"Suffolk County, NY","05000US36103",375100.0,1462.0
2013,"Blaine County","05000US16013",375000.0,34390.0
2015,"Blaine County","05000US16013",374800.0,24785.0
2013,"Bronx County, NY","05000US36005",374500.0,4412.0
2014,"Blaine County","05000US16013",373000.0,30808.0
2013,"Putnam County, NY","05000US36079",372200.0,5567.0
2015,"Monterey County, CA","05000US06053",369100.0,6340.0
2015,"Boulder County, CO","05000US08013",368800.0,4139.0
2015,"Rappahannock County","05000US51157",367000.0,28737.0
2013,"Barnstable County, MA","05000US25001",366700.0,3489.0
2014,"Bronx County, NY","05000US36005",366400.0,4556.0
2014,"Suffolk County, MA","05000US25025",365200.0,3606.0
2013,"Essex County, NJ","05000US34013",364800.0,2874.0
2015,"Barnstable County, MA","05000US25001",363500.0,3805.0
2015,"Bronx County, NY","05000US36005",363400.0,4541.0
2015,"El Dorado County, CA","05000US06017",363000.0,5560.0
2014,"Barnstable County, MA","05000US25001",362800.0,3330.0
2013,"Monterey County, CA","05000US06053",362400.0,6395.0
2014,"Putnam County, NY","05000US36079",362400.0,5208.0
2013,"Union County, NJ","05000US34039",362300.0,2740.0
2014,"Monterey County, CA","05000US06053",362100.0,6724.0
2013,"El Dorado County, CA","05000US06017",359500.0,5290.0
2013,"Suffolk County, MA","05000US25025",358700.0,2845.0
2015,"Placer County, CA","05000US06061",358500.0,2874.0
2014,"Essex County, NJ","05000US34013",358100.0,2798.0
2014,"Boulder County, CO","05000US08013",358000.0,4862.0
2013,"Nevada County, CA","05000US06057",357300.0,7756.0
2014,"San Benito County","05000US06069",357200.0,10513.0
2015,"Fauquier County","05000US51061",357200.0,6447.0
2013,"Calvert County","05000US24009",357000.0,4905.0
2014,"El Dorado County, CA","05000US06017",356900.0,5313.0
2015,"Essex County, NJ","05000US34013",356600.0,3314.0
2013,"Newport County","05000US44005",355800.0,7965.0
2015,"Putnam County, NY","05000US36079",354900.0,4983.0
2015,"Douglas County, CO","05000US08035",354700.0,2211.0
2014,"Union County, NJ","05000US34039",353300.0,2794.0
2015,"Essex County, MA","05000US25009",353100.0,2050.0
2014,"Fauquier County","05000US51061",351900.0,6792.0
2013,"Passaic County, NJ","05000US34031",351000.0,2205.0
2013,"Boulder County, CO","05000US08013",350900.0,4498.0
2013,"Fauquier County","05000US51061",350600.0,7924.0
2013,"Essex County, MA","05000US25009",349400.0,1959.0
2014,"Essex County, MA","05000US25009",349300.0,2158.0
2015,"Newport County","05000US44005",349200.0,6720.0
2015,"Williamson County, TN","05000US47187",348600.0,5793.0
2013,"Queen Anne's County","05000US24035",348100.0,8140.0
2014,"Calvert County","05000US24009",347300.0,6188.0
2013,"Hudson County, NJ","05000US34017",347200.0,2870.0
2015,"Nevada County, CA","05000US06057",347000.0,6403.0
2014,"Newport County","05000US44005",346500.0,7601.0
2014,"Placer County, CA","05000US06061",345900.0,3213.0
2015,"Union County, NJ","05000US34039",345500.0,3003.0
2014,"Nevada County, CA","05000US06057",344800.0,6553.0
2013,"Mono County","05000US06051",344500.0,42423.0
2014,"Passaic County, NJ","05000US34031",343100.0,2614.0
2013,"San Benito County","05000US06069",343000.0,10990.0
2013,"Clarke County","05000US51043",342500.0,16555.0
2013,"Placer County, CA","05000US06061",342000.0,3579.0
2015,"Calvert County","05000US24009",341800.0,6479.0
2014,"Queen Anne's County","05000US24035",341100.0,7366.0
2013,"Bristol County","05000US44001",341000.0,7344.0
2014,"Douglas County, CO","05000US08035",340300.0,2918.0
