year,geo_name,geo,hiv_prevalence_rate
2016,"Benson County","05000US38005",None
2017,"Billings County","05000US38007",None
2015,"Billings County","05000US38007",None
2016,"Billings County","05000US38007",None
2016,"Bottineau County","05000US38009",None
2015,"Bottineau County","05000US38009",None
2017,"Bottineau County","05000US38009",None
2017,"Bowman County","05000US38011",None
2016,"Bowman County","05000US38011",None
2015,"Bowman County","05000US38011",None
2017,"Burke County","05000US38013",None
2015,"Burke County","05000US38013",None
2016,"Burke County","05000US38013",None
2015,"Burleigh County","05000US38015",None
2016,"Burleigh County","05000US38015",None
2015,"Cass County, ND","05000US38017",None
2016,"Cass County, ND","05000US38017",None
2017,"Cavalier County","05000US38019",None
2015,"Cavalier County","05000US38019",None
2016,"Cavalier County","05000US38019",None
2016,"Dickey County","05000US38021",None
2017,"Dickey County","05000US38021",None
2015,"Dickey County","05000US38021",None
2015,"Divide County","05000US38023",None
2016,"Divide County","05000US38023",None
2017,"Divide County","05000US38023",None
2017,"Dunn County","05000US38025",None
2016,"Dunn County","05000US38025",None
2015,"Dunn County","05000US38025",None
2016,"Eddy County","05000US38027",None
2017,"Eddy County","05000US38027",None
2015,"Eddy County","05000US38027",None
2017,"Emmons County","05000US38029",None
2015,"Emmons County","05000US38029",None
2016,"Emmons County","05000US38029",None
2016,"Foster County","05000US38031",None
2015,"Foster County","05000US38031",None
2017,"Foster County","05000US38031",None
2016,"Golden Valley County","05000US38033",None
2017,"Golden Valley County","05000US38033",None
2015,"Golden Valley County","05000US38033",None
2016,"Grand Forks County","05000US38035",None
2015,"Grand Forks County","05000US38035",None
2016,"Grant County","05000US38037",None
2015,"Grant County","05000US38037",None
2017,"Grant County","05000US38037",None
2015,"Griggs County","05000US38039",None
2017,"Griggs County","05000US38039",None
2016,"Griggs County","05000US38039",None
2016,"Hettinger County","05000US38041",None
2015,"Hettinger County","05000US38041",None
2017,"Hettinger County","05000US38041",None
2015,"Kidder County","05000US38043",None
2016,"Kidder County","05000US38043",None
2017,"Kidder County","05000US38043",None
2017,"LaMoure County","05000US38045",None
2016,"LaMoure County","05000US38045",None
2015,"LaMoure County","05000US38045",None
2017,"Logan County","05000US38047",None
2016,"Logan County","05000US38047",None
2015,"Logan County","05000US38047",None
2016,"McHenry County","05000US38049",None
2015,"McHenry County","05000US38049",None
2017,"McHenry County","05000US38049",None
2016,"McIntosh County","05000US38051",None
2017,"McIntosh County","05000US38051",None
2015,"McIntosh County","05000US38051",None
2017,"McKenzie County","05000US38053",None
2015,"McKenzie County","05000US38053",None
2016,"McKenzie County","05000US38053",None
2015,"McLean County","05000US38055",None
2017,"McLean County","05000US38055",None
2016,"McLean County","05000US38055",None
2017,"Mercer County","05000US38057",None
2016,"Mercer County","05000US38057",None
2015,"Mercer County","05000US38057",None
2017,"Morton County","05000US38059",None
2015,"Morton County","05000US38059",None
2016,"Morton County","05000US38059",None
2016,"Mountrail County","05000US38061",None
2017,"Mountrail County","05000US38061",None
2015,"Mountrail County","05000US38061",None
2015,"Nelson County","05000US38063",None
2016,"Nelson County","05000US38063",None
2017,"Nelson County","05000US38063",None
2017,"Oliver County","05000US38065",None
2016,"Oliver County","05000US38065",None
2015,"Oliver County","05000US38065",None
2015,"Pembina County","05000US38067",None
2016,"Pembina County","05000US38067",None
2017,"Pembina County","05000US38067",None
2015,"Pierce County","05000US38069",None
2016,"Pierce County","05000US38069",None
2017,"Pierce County","05000US38069",None
2017,"Ramsey County","05000US38071",None
2015,"Ramsey County","05000US38071",None
2016,"Ramsey County","05000US38071",None
2016,"Ransom County","05000US38073",None
2017,"Ransom County","05000US38073",None
2015,"Ransom County","05000US38073",None
2017,"Renville County","05000US38075",None
2016,"Renville County","05000US38075",None
2015,"Renville County","05000US38075",None
2016,"Richland County","05000US38077",None
2015,"Richland County","05000US38077",None
2017,"Richland County","05000US38077",None
2015,"Rolette County","05000US38079",None
2016,"Rolette County","05000US38079",None
2017,"Sargent County","05000US38081",None
2015,"Sargent County","05000US38081",None
2016,"Sargent County","05000US38081",None
2016,"Sheridan County","05000US38083",None
2017,"Sheridan County","05000US38083",None
2015,"Sheridan County","05000US38083",None
2015,"Sioux County","05000US38085",None
