year,geo_name,geo,teen_births
2015,"Turner County","05000US13287",90.1
2016,"Potter County, TX","05000US48375",90.0
2015,"Yazoo County","05000US28163",90.0
2016,"Lake County","05000US47095",90.0
2016,"Evans County","05000US13109",89.8
2016,"Hale County","05000US48189",89.8
2015,"Ware County","05000US13299",89.8
2015,"Chickasaw County","05000US28017",89.7
2017,"Starr County","05000US48427",89.7
2017,"Atkinson County","05000US13003",89.7
2015,"Curry County","05000US35009",89.7
2017,"Scurry County","05000US48415",89.4
2015,"Phillips County","05000US05107",89.4
2016,"Clinch County","05000US13065",89.2
2016,"Ware County","05000US13299",89.1
2016,"Quay County","05000US35037",89.1
2016,"Nolan County","05000US48353",89.0
2017,"Lamb County","05000US48279",89.0
2016,"Adams County","05000US53001",89.0
2015,"Harlan County","05000US21095",89.0
2016,"Ben Hill County","05000US13017",88.9
2015,"Quitman County","05000US28119",88.9
2016,"Nome Census Area","05000US02180",88.9
2015,"Washington County","05000US28151",88.8
2017,"Ector County, TX","05000US48135",88.7
2017,"Crosby County","05000US48107",88.6
2015,"Stewart County","05000US13259",88.6
2015,"Ochiltree County","05000US48357",88.5
2015,"Hardee County","05000US12049",88.5
2015,"Moore County","05000US48341",88.4
2015,"Panola County","05000US28107",88.4
2016,"Mahnomen County","05000US27087",88.4
2016,"Mellette County","05000US46095",88.2
2017,"Jackson County","05000US46071",88.2
2015,"George County","05000US28039",88.2
2015,"Webb County, TX","05000US48479",88.1
2016,"Seward County","05000US20175",88.1
2016,"Lea County","05000US35025",88.1
2017,"Mississippi County","05000US29133",87.9
2016,"Harmon County","05000US40057",87.8
2016,"Andrews County","05000US48003",87.8
2016,"Mississippi County","05000US29133",87.7
2015,"Alexander County","05000US17003",87.7
2015,"Crisp County","05000US13081",87.7
2016,"Curry County","05000US35009",87.7
2016,"Pemiscot County","05000US29155",87.4
2015,"Clinch County","05000US13065",87.1
2015,"Mahnomen County","05000US27087",87.0
2017,"Nome Census Area","05000US02180",87.0
2017,"Lake County","05000US47095",86.9
2015,"Jeff Davis County","05000US13161",86.9
2017,"Dawson County","05000US48115",86.8
2015,"Andrews County","05000US48003",86.8
2017,"Frio County","05000US48163",86.7
2017,"Coahoma County","05000US28027",86.6
2017,"Quay County","05000US35037",86.6
2015,"Crittenden County","05000US05035",86.5
2017,"Childress County","05000US48075",86.4
2017,"Northwest Arctic Borough","05000US02188",86.4
2015,"Sunflower County","05000US28133",86.4
2016,"Terrell County","05000US13273",86.4
2016,"Appling County","05000US13001",86.2
2015,"Desha County","05000US05041",86.2
